Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
MANHATTAN,2013,50,877,0,147,0,0.0
QUEENS,2013,50,881,1,187,1,0.0011350737797956867
STATEN ISLAND,2013,50,180,1,31,1,0.005555555555555556
BOROUGH_NOT_SPECIFIED,2013,51,1054,2,250,2,0.0018975332068311196
BRONX,2013,51,405,1,122,1,0.0024691358024691358
BROOKLYN,2013,51,1044,0,283,0,0.0
MANHATTAN,2013,51,846,2,139,2,0.002364066193853428
QUEENS,2013,51,906,2,219,3,0.002207505518763797
STATEN ISLAND,2013,51,167,0,40,0,0.0
BOROUGH_NOT_SPECIFIED,2013,52,777,2,200,2,0.002574002574002574
BRONX,2013,52,326,0,102,0,0.0
BROOKLYN,2013,52,788,2,245,2,0.0025380710659898475
MANHATTAN,2013,52,615,0,81,0,0.0
QUEENS,2013,52,634,0,159,0,0.0
STATEN ISLAND,2013,52,111,1,17,1,0.009009009009009009
BOROUGH_NOT_SPECIFIED,2014,1,836,3,198,3,0.0035885167464114833
BRONX,2014,1,343,1,93,1,0.0029154518950437317
BROOKLYN,2014,1,851,1,209,1,0.0011750881316098707
MANHATTAN,2014,1,602,1,79,1,0.0016611295681063123
QUEENS,2014,1,738,1,159,1,0.0013550135501355014
STATEN ISLAND,2014,1,132,1,33,1,0.007575757575757576
BOROUGH_NOT_SPECIFIED,2014,2,859,0,222,0,0.0
BRONX,2014,2,346,1,107,1,0.002890173410404624
BROOKLYN,2014,2,886,3,246,3,0.003386004514672686
MANHATTAN,2014,2,713,2,129,2,0.002805049088359046
QUEENS,2014,2,773,0,200,0,0.0
STATEN ISLAND,2014,2,128,1,25,1,0.0078125
BOROUGH_NOT_SPECIFIED,2014,3,833,2,210,2,0.0024009603841536613
BRONX,2014,3,351,0,126,0,0.0
BROOKLYN,2014,3,836,0,283,0,0.0
MANHATTAN,2014,3,740,3,144,3,0.004054054054054054
QUEENS,2014,3,747,0,212,0,0.0
STATEN ISLAND,2014,3,139,0,37,0,0.0
BOROUGH_NOT_SPECIFIED,2014,4,1095,1,234,1,9.132420091324201E-4
BRONX,2014,4,428,1,97,1,0.002336448598130841
BROOKLYN,2014,4,954,0,206,0,0.0
MANHATTAN,2014,4,779,0,149,0,0.0
QUEENS,2014,4,850,0,122,0,0.0
STATEN ISLAND,2014,4,168,1,26,1,0.005952380952380952
BOROUGH_NOT_SPECIFIED,2014,5,834,1,217,1,0.001199040767386091
BRONX,2014,5,403,0,108,0,0.0
BROOKLYN,2014,5,941,2,260,2,0.0021253985122210413
MANHATTAN,2014,5,737,0,124,0,0.0
QUEENS,2014,5,762,0,172,0,0.0
STATEN ISLAND,2014,5,128,0,42,0,0.0
BOROUGH_NOT_SPECIFIED,2014,6,921,0,178,0,0.0
BRONX,2014,6,438,1,71,1,0.00228310502283105
BROOKLYN,2014,6,972,2,203,2,0.00205761316872428
MANHATTAN,2014,6,730,0,117,0,0.0
QUEENS,2014,6,931,1,128,1,0.0010741138560687433
STATEN ISLAND,2014,6,165,0,14,0,0.0
BOROUGH_NOT_SPECIFIED,2014,7,914,1,171,1,0.0010940919037199124
BRONX,2014,7,488,0,78,0,0.0
BROOKLYN,2014,7,945,2,184,2,0.0021164021164021165
MANHATTAN,2014,7,762,0,122,0,0.0
QUEENS,2014,7,894,0,124,0,0.0
STATEN ISLAND,2014,7,168,0,38,0,0.0
BOROUGH_NOT_SPECIFIED,2014,8,880,3,207,4,0.003409090909090909
BRONX,2014,8,363,0,65,0,0.0
BROOKLYN,2014,8,809,1,207,1,0.0012360939431396785
MANHATTAN,2014,8,700,0,140,0,0.0
QUEENS,2014,8,770,0,159,0,0.0
STATEN ISLAND,2014,8,139,0,28,0,0.0
BOROUGH_NOT_SPECIFIED,2014,9,883,1,226,1,0.0011325028312570782
BRONX,2014,9,379,0,110,0,0.0
BROOKLYN,2014,9,831,0,201,0,0.0
MANHATTAN,2014,9,712,0,92,0,0.0
QUEENS,2014,9,715,0,173,0,0.0
STATEN ISLAND,2014,9,137,0,24,0,0.0
BOROUGH_NOT_SPECIFIED,2014,10,795,0,183,0,0.0
BRONX,2014,10,360,0,102,0,0.0
BROOKLYN,2014,10,819,2,228,2,0.002442002442002442
MANHATTAN,2014,10,664,0,96,0,0.0
QUEENS,2014,10,719,3,175,3,0.004172461752433936
STATEN ISLAND,2014,10,112,0,16,0,0.0
BOROUGH_NOT_SPECIFIED,2014,11,852,0,208,0,0.0
BRONX,2014,11,326,0,84,0,0.0
BROOKLYN,2014,11,869,1,261,1,0.0011507479861910242
MANHATTAN,2014,11,728,1,119,1,0.0013736263736263737
QUEENS,2014,11,699,0,140,0,0.0
STATEN ISLAND,2014,11,123,0,33,0,0.0
BOROUGH_NOT_SPECIFIED,2014,12,902,2,223,2,0.0022172949002217295
BRONX,2014,12,358,0,87,0,0.0
BROOKLYN,2014,12,867,3,269,3,0.0034602076124567475
MANHATTAN,2014,12,762,0,127,0,0.0
QUEENS,2014,12,718,0,190,0,0.0
STATEN ISLAND,2014,12,123,0,29,0,0.0
BOROUGH_NOT_SPECIFIED,2014,13,827,2,222,2,0.0024183796856106408
BRONX,2014,13,377,1,126,1,0.002652519893899204
BROOKLYN,2014,13,847,0,259,0,0.0
MANHATTAN,2014,13,721,1,119,1,0.0013869625520110957
QUEENS,2014,13,757,1,180,1,0.001321003963011889
STATEN ISLAND,2014,13,127,0,27,0,0.0
BOROUGH_NOT_SPECIFIED,2014,14,947,1,212,1,0.0010559662090813093
BRONX,2014,14,347,1,81,1,0.002881844380403458
BROOKLYN,2014,14,928,2,278,2,0.0021551724137931034
MANHATTAN,2014,14,797,0,130,0,0.0
QUEENS,2014,14,764,1,180,4,0.0013089005235602095
STATEN ISLAND,2014,14,119,1,20,1,0.008403361344537815
BOROUGH_NOT_SPECIFIED,2014,15,945,1,254,1,0.0010582010582010583
BRONX,2014,15,402,0,120,0,0.0
BROOKLYN,2014,15,960,1,299,1,0.0010416666666666667
MANHATTAN,2014,15,818,1,140,1,0.0012224938875305623
QUEENS,2014,15,778,0,201,0,0.0
STATEN ISLAND,2014,15,141,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2014,16,849,1,210,1,0.001177856301531213
BRONX,2014,16,346,0,104,0,0.0
BROOKLYN,2014,16,770,1,263,1,0.0012987012987012987
MANHATTAN,2014,16,728,1,139,1,0.0013736263736263737
QUEENS,2014,16,667,0,144,0,0.0
STATEN ISLAND,2014,16,93,0,22,0,0.0
BOROUGH_NOT_SPECIFIED,2014,17,917,1,242,1,0.0010905125408942203
BRONX,2014,17,328,0,83,0,0.0
BROOKLYN,2014,17,813,1,257,1,0.0012300123001230013
MANHATTAN,2014,17,799,0,124,0,0.0
QUEENS,2014,17,749,2,179,2,0.0026702269692923898
STATEN ISLAND,2014,17,108,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2014,18,1009,1,225,1,9.910802775024777E-4
BRONX,2014,18,392,1,137,1,0.002551020408163265
BROOKLYN,2014,18,974,2,277,2,0.002053388090349076
MANHATTAN,2014,18,870,1,145,1,0.0011494252873563218
QUEENS,2014,18,819,1,246,1,0.001221001221001221
STATEN ISLAND,2014,18,128,0,25,0,0.0
BOROUGH_NOT_SPECIFIED,2014,19,1027,1,293,1,9.737098344693282E-4
BRONX,2014,19,378,0,97,0,0.0
BROOKLYN,2014,19,914,2,253,2,0.002188183807439825
MANHATTAN,2014,19,847,2,157,2,0.0023612750885478157
QUEENS,2014,19,821,1,210,1,0.001218026796589525
STATEN ISLAND,2014,19,112,0,23,0,0.0
BOROUGH_NOT_SPECIFIED,2014,20,1086,3,295,3,0.0027624309392265192
BRONX,2014,20,355,0,112,0,0.0
BROOKLYN,2014,20,990,0,290,0,0.0
MANHATTAN,2014,20,939,1,166,1,0.0010649627263045794
QUEENS,2014,20,750,0,168,0,0.0
STATEN ISLAND,2014,20,141,0,39,0,0.0
BOROUGH_NOT_SPECIFIED,2014,21,1007,1,296,1,9.930486593843098E-4
BRONX,2014,21,371,1,153,1,0.0026954177897574125
BROOKLYN,2014,21,929,4,274,5,0.004305705059203444
MANHATTAN,2014,21,820,0,116,0,0.0
QUEENS,2014,21,764,3,190,3,0.003926701570680628
STATEN ISLAND,2014,21,117,0,25,0,0.0
BOROUGH_NOT_SPECIFIED,2014,22,1023,2,296,2,0.0019550342130987292
BRONX,2014,22,401,0,143,0,0.0
BROOKLYN,2014,22,947,1,272,1,0.0010559662090813093
MANHATTAN,2014,22,838,0,106,0,0.0
QUEENS,2014,22,798,0,215,0,0.0
STATEN ISLAND,2014,22,111,0,31,0,0.0
BOROUGH_NOT_SPECIFIED,2014,23,1036,1,275,1,9.652509652509653E-4
BRONX,2014,23,391,1,164,1,0.0025575447570332483
BROOKLYN,2014,23,1005,1,336,1,9.950248756218905E-4
MANHATTAN,2014,23,900,1,137,1,0.0011111111111111111
QUEENS,2014,23,853,3,214,3,0.0035169988276670576
STATEN ISLAND,2014,23,153,1,29,1,0.006535947712418301
BOROUGH_NOT_SPECIFIED,2014,24,943,1,266,1,0.0010604453870625664
BRONX,2014,24,380,0,144,0,0.0
BROOKLYN,2014,24,961,2,321,2,0.002081165452653486
MANHATTAN,2014,24,817,0,120,0,0.0
QUEENS,2014,24,776,3,181,3,0.003865979381443299
STATEN ISLAND,2014,24,151,1,37,1,0.006622516556291391
BOROUGH_NOT_SPECIFIED,2014,25,1075,3,325,3,0.0027906976744186047
BRONX,2014,25,419,0,160,0,0.0
BROOKLYN,2014,25,1024,0,295,0,0.0
MANHATTAN,2014,25,878,0,188,0,0.0
QUEENS,2014,25,881,0,209,0,0.0
STATEN ISLAND,2014,25,147,0,35,0,0.0
BOROUGH_NOT_SPECIFIED,2014,26,1071,1,254,1,9.337068160597573E-4
BRONX,2014,26,455,0,142,0,0.0
BROOKLYN,2014,26,994,2,348,2,0.002012072434607646
MANHATTAN,2014,26,859,0,170,0,0.0
QUEENS,2014,26,882,1,254,1,0.0011337868480725624
STATEN ISLAND,2014,26,136,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2014,27,974,2,319,2,0.002053388090349076
BRONX,2014,27,373,0,139,0,0.0
BROOKLYN,2014,27,944,2,307,2,0.00211864406779661
MANHATTAN,2014,27,748,1,147,1,0.001336898395721925
QUEENS,2014,27,776,2,202,2,0.002577319587628866
STATEN ISLAND,2014,27,123,0,42,0,0.0
BOROUGH_NOT_SPECIFIED,2014,28,958,0,219,0,0.0
BRONX,2014,28,404,0,139,0,0.0
BROOKLYN,2014,28,925,2,280,2,0.002162162162162162
MANHATTAN,2014,28,791,1,130,1,0.0012642225031605564
QUEENS,2014,28,776,1,217,1,0.001288659793814433
STATEN ISLAND,2014,28,135,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2014,29,951,2,245,2,0.002103049421661409
BRONX,2014,29,345,0,101,0,0.0
BROOKLYN,2014,29,867,2,271,2,0.002306805074971165
MANHATTAN,2014,29,812,1,154,1,0.0012315270935960591
QUEENS,2014,29,763,1,188,1,0.001310615989515072
STATEN ISLAND,2014,29,103,1,18,1,0.009708737864077669
BOROUGH_NOT_SPECIFIED,2014,30,960,2,278,2,0.0020833333333333333
BRONX,2014,30,395,1,122,1,0.002531645569620253
BROOKLYN,2014,30,904,1,261,1,0.0011061946902654867
MANHATTAN,2014,30,795,1,165,1,0.0012578616352201257
QUEENS,2014,30,768,3,205,3,0.00390625
STATEN ISLAND,2014,30,113,0,24,0,0.0
BOROUGH_NOT_SPECIFIED,2014,31,991,2,235,3,0.0020181634712411706
BRONX,2014,31,337,0,86,0,0.0
BROOKLYN,2014,31,956,1,311,1,0.0010460251046025104
MANHATTAN,2014,31,857,0,148,0,0.0
QUEENS,2014,31,773,3,186,3,0.0038809831824062097
STATEN ISLAND,2014,31,121,1,30,1,0.008264462809917356
BOROUGH_NOT_SPECIFIED,2014,32,993,1,235,1,0.0010070493454179255
BRONX,2014,32,369,1,140,1,0.0027100271002710027
BROOKLYN,2014,32,880,0,289,0,0.0
MANHATTAN,2014,32,803,0,158,0,0.0
QUEENS,2014,32,822,0,251,0,0.0
STATEN ISLAND,2014,32,125,0,33,0,0.0
BOROUGH_NOT_SPECIFIED,2014,33,900,1,239,1,0.0011111111111111111
BRONX,2014,33,348,0,95,0,0.0
BROOKLYN,2014,33,887,2,291,2,0.002254791431792559
MANHATTAN,2014,33,778,0,144,0,0.0
QUEENS,2014,33,746,1,188,1,0.0013404825737265416
STATEN ISLAND,2014,33,119,0,26,0,0.0
BOROUGH_NOT_SPECIFIED,2014,34,934,1,282,1,0.0010706638115631692
BRONX,2014,34,361,0,102,0,0.0
BROOKLYN,2014,34,826,0,255,0,0.0
MANHATTAN,2014,34,790,1,106,1,0.0012658227848101266
QUEENS,2014,34,690,1,179,1,0.0014492753623188406
STATEN ISLAND,2014,34,87,0,31,0,0.0
BOROUGH_NOT_SPECIFIED,2014,35,976,4,260,4,0.004098360655737705
BRONX,2014,35,386,0,113,0,0.0
BROOKLYN,2014,35,920,1,277,1,0.0010869565217391304
MANHATTAN,2014,35,750,2,138,2,0.0026666666666666666
QUEENS,2014,35,795,1,169,1,0.0012578616352201257
STATEN ISLAND,2014,35,121,0,40,0,0.0
BOROUGH_NOT_SPECIFIED,2014,36,979,0,285,0,0.0
BRONX,2014,36,401,2,128,2,0.004987531172069825
BROOKLYN,2014,36,1012,3,287,3,0.0029644268774703555
MANHATTAN,2014,36,766,3,101,3,0.0039164490861618795
QUEENS,2014,36,793,0,151,0,0.0
STATEN ISLAND,2014,36,125,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2014,37,1041,3,290,4,0.002881844380403458
BRONX,2014,37,398,0,140,0,0.0
BROOKLYN,2014,37,987,0,321,0,0.0
MANHATTAN,2014,37,813,0,128,0,0.0
QUEENS,2014,37,857,1,183,1,0.0011668611435239206
STATEN ISLAND,2014,37,142,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2014,38,1097,1,308,1,9.115770282588879E-4
BRONX,2014,38,392,1,114,1,0.002551020408163265
BROOKLYN,2014,38,955,1,321,1,0.0010471204188481676
MANHATTAN,2014,38,886,1,117,1,0.001128668171557562
QUEENS,2014,38,824,1,207,2,0.0012135922330097086
STATEN ISLAND,2014,38,131,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2014,39,934,3,229,3,0.0032119914346895075
BRONX,2014,39,421,1,152,1,0.0023752969121140144
BROOKLYN,2014,39,944,1,280,1,0.001059322033898305
MANHATTAN,2014,39,852,2,121,2,0.002347417840375587
QUEENS,2014,39,790,1,205,1,0.0012658227848101266
STATEN ISLAND,2014,39,122,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2014,40,934,2,210,2,0.0021413276231263384
BRONX,2014,40,374,1,110,1,0.00267379679144385
BROOKLYN,2014,40,938,0,293,0,0.0
MANHATTAN,2014,40,793,0,147,0,0.0
QUEENS,2014,40,855,0,247,0,0.0
STATEN ISLAND,2014,40,132,0,48,0,0.0
BOROUGH_NOT_SPECIFIED,2014,41,957,3,241,3,0.003134796238244514
BRONX,2014,41,376,0,129,0,0.0
BROOKLYN,2014,41,895,1,319,1,0.0011173184357541898
MANHATTAN,2014,41,822,1,154,1,0.0012165450121654502
QUEENS,2014,41,776,0,210,0,0.0
STATEN ISLAND,2014,41,131,0,26,0,0.0
BOROUGH_NOT_SPECIFIED,2014,42,1028,1,292,2,9.727626459143969E-4
BRONX,2014,42,351,0,115,0,0.0
BROOKLYN,2014,42,854,0,292,0,0.0
MANHATTAN,2014,42,767,1,165,1,0.001303780964797914
QUEENS,2014,42,816,1,224,1,0.0012254901960784314
STATEN ISLAND,2014,42,131,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2014,43,955,1,225,1,0.0010471204188481676
BRONX,2014,43,373,1,98,1,0.002680965147453083
BROOKLYN,2014,43,1063,3,333,3,0.0028222013170272815
MANHATTAN,2014,43,863,0,139,0,0.0
QUEENS,2014,43,841,0,207,0,0.0
STATEN ISLAND,2014,43,149,0,37,0,0.0
BOROUGH_NOT_SPECIFIED,2014,44,966,1,234,1,0.0010351966873706005
BRONX,2014,44,386,0,100,0,0.0
BROOKLYN,2014,44,1032,1,310,1,9.689922480620155E-4
MANHATTAN,2014,44,901,1,143,1,0.0011098779134295228
QUEENS,2014,44,842,2,222,2,0.0023752969121140144
STATEN ISLAND,2014,44,122,0,28,0,0.0
BOROUGH_NOT_SPECIFIED,2014,45,974,4,223,5,0.004106776180698152
BRONX,2014,45,349,0,123,0,0.0
BROOKLYN,2014,45,922,1,263,1,0.0010845986984815619
MANHATTAN,2014,45,783,0,111,0,0.0
QUEENS,2014,45,819,4,235,4,0.004884004884004884
STATEN ISLAND,2014,45,125,0,36,0,0.0
BOROUGH_NOT_SPECIFIED,2014,46,913,2,239,2,0.002190580503833516
BRONX,2014,46,359,1,107,1,0.002785515320334262
BROOKLYN,2014,46,890,0,258,0,0.0
MANHATTAN,2014,46,811,1,126,1,0.0012330456226880395
QUEENS,2014,46,805,0,240,0,0.0
STATEN ISLAND,2014,46,126,1,29,1,0.007936507936507936
BOROUGH_NOT_SPECIFIED,2014,47,1041,1,243,1,9.606147934678194E-4
BRONX,2014,47,396,0,116,0,0.0
BROOKLYN,2014,47,982,2,294,2,0.002036659877800407
MANHATTAN,2014,47,880,0,127,0,0.0
QUEENS,2014,47,828,1,216,1,0.0012077294685990338
STATEN ISLAND,2014,47,129,0,35,0,0.0
BOROUGH_NOT_SPECIFIED,2014,48,900,2,207,2,0.0022222222222222222
BRONX,2014,48,358,1,115,1,0.002793296089385475
BROOKLYN,2014,48,837,1,226,1,0.0011947431302270011
MANHATTAN,2014,48,696,2,116,2,0.0028735632183908046
QUEENS,2014,48,755,0,179,0,0.0
STATEN ISLAND,2014,48,110,0,40,0,0.0
BOROUGH_NOT_SPECIFIED,2014,49,1053,0,254,0,0.0
BRONX,2014,49,388,0,121,0,0.0
BROOKLYN,2014,49,947,1,281,1,0.0010559662090813093
MANHATTAN,2014,49,927,1,179,1,0.0010787486515641855
QUEENS,2014,49,778,2,194,2,0.002570694087403599
STATEN ISLAND,2014,49,129,0,22,0,0.0
BOROUGH_NOT_SPECIFIED,2014,50,1053,1,239,1,9.49667616334283E-4
BRONX,2014,50,407,0,101,0,0.0
BROOKLYN,2014,50,983,1,299,1,0.001017293997965412
MANHATTAN,2014,50,884,0,128,0,0.0
QUEENS,2014,50,828,1,203,1,0.0012077294685990338
STATEN ISLAND,2014,50,102,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2014,51,1017,0,223,0,0.0
BRONX,2014,51,403,0,105,0,0.0
BROOKLYN,2014,51,941,2,276,2,0.0021253985122210413
MANHATTAN,2014,51,825,0,123,0,0.0
QUEENS,2014,51,818,0,202,0,0.0
STATEN ISLAND,2014,51,101,0,23,0,0.0
BOROUGH_NOT_SPECIFIED,2014,52,804,0,171,0,0.0
BRONX,2014,52,304,0,81,0,0.0
BROOKLYN,2014,52,814,1,264,1,0.0012285012285012285
MANHATTAN,2014,52,594,0,96,0,0.0
QUEENS,2014,52,692,0,194,0,0.0
STATEN ISLAND,2014,52,112,1,32,1,0.008928571428571428
BOROUGH_NOT_SPECIFIED,2015,1,408,1,151,1,0.0024509803921568627
BRONX,2015,1,168,1,45,1,0.005952380952380952
BROOKLYN,2015,1,423,0,124,0,0.0
MANHATTAN,2015,1,306,1,50,1,0.0032679738562091504
QUEENS,2015,1,318,0,88,0,0.0
STATEN ISLAND,2015,1,50,0,11,0,0.0
BOROUGH_NOT_SPECIFIED,2015,2,861,0,193,0,0.0
BRONX,2015,2,408,1,96,1,0.0024509803921568627
BROOKLYN,2015,2,955,2,272,2,0.0020942408376963353
MANHATTAN,2015,2,682,1,112,1,0.001466275659824047
QUEENS,2015,2,900,0,178,0,0.0
STATEN ISLAND,2015,2,152,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2015,3,1063,1,276,1,9.407337723424271E-4
BRONX,2015,3,509,0,118,0,0.0
BROOKLYN,2015,3,926,0,246,0,0.0
MANHATTAN,2015,3,750,0,98,0,0.0
QUEENS,2015,3,860,3,210,3,0.0034883720930232558
STATEN ISLAND,2015,3,155,0,40,0,0.0
BOROUGH_NOT_SPECIFIED,2015,4,777,0,164,0,0.0
BRONX,2015,4,335,0,61,0,0.0
BROOKLYN,2015,4,866,0,194,0,0.0
MANHATTAN,2015,4,632,2,94,2,0.0031645569620253164
QUEENS,2015,4,716,1,132,1,0.0013966480446927375
STATEN ISLAND,2015,4,103,0,17,0,0.0
BOROUGH_NOT_SPECIFIED,2015,5,674,1,119,1,0.001483679525222552
BRONX,2015,5,318,0,87,0,0.0
BROOKLYN,2015,5,784,0,124,0,0.0
MANHATTAN,2015,5,570,0,69,0,0.0
QUEENS,2015,5,710,1,131,1,0.0014084507042253522
STATEN ISLAND,2015,5,102,0,15,0,0.0
BOROUGH_NOT_SPECIFIED,2015,6,927,0,197,0,0.0
BRONX,2015,6,394,0,80,0,0.0
BROOKLYN,2015,6,1087,0,222,0,0.0
MANHATTAN,2015,6,712,0,112,0,0.0
QUEENS,2015,6,822,2,119,2,0.0024330900243309003
STATEN ISLAND,2015,6,127,0,52,0,0.0
BOROUGH_NOT_SPECIFIED,2015,7,899,0,189,0,0.0
BRONX,2015,7,390,0,64,0,0.0
BROOKLYN,2015,7,951,2,200,2,0.002103049421661409
MANHATTAN,2015,7,761,1,114,1,0.001314060446780552
QUEENS,2015,7,768,0,164,0,0.0
STATEN ISLAND,2015,7,131,0,38,0,0.0
BOROUGH_NOT_SPECIFIED,2015,8,911,2,215,2,0.0021953896816684962
BRONX,2015,8,380,0,53,0,0.0
BROOKLYN,2015,8,892,2,171,2,0.002242152466367713
MANHATTAN,2015,8,737,1,107,1,0.0013568521031207597
QUEENS,2015,8,785,2,131,2,0.0025477707006369425
STATEN ISLAND,2015,8,115,0,31,0,0.0
BOROUGH_NOT_SPECIFIED,2015,9,2132,3,419,3,0.0014071294559099437
BRONX,2015,9,313,0,66,0,0.0
BROOKLYN,2015,9,648,2,139,2,0.0030864197530864196
MANHATTAN,2015,9,493,0,66,0,0.0
QUEENS,2015,9,583,0,109,0,0.0
STATEN ISLAND,2015,9,86,0,16,0,0.0
BOROUGH_NOT_SPECIFIED,2015,10,999,0,203,0,0.0
BRONX,2015,10,512,0,81,0,0.0
BROOKLYN,2015,10,1159,0,176,0,0.0
MANHATTAN,2015,10,870,1,121,1,0.0011494252873563218
QUEENS,2015,10,978,0,139,0,0.0
STATEN ISLAND,2015,10,143,1,31,1,0.006993006993006993
BOROUGH_NOT_SPECIFIED,2015,11,944,0,219,0,0.0
BRONX,2015,11,417,0,104,0,0.0
BROOKLYN,2015,11,955,1,256,1,0.0010471204188481676
MANHATTAN,2015,11,782,0,140,0,0.0
QUEENS,2015,11,774,0,195,0,0.0
STATEN ISLAND,2015,11,95,0,18,0,0.0
BOROUGH_NOT_SPECIFIED,2015,12,944,2,217,3,0.00211864406779661
BRONX,2015,12,338,1,86,2,0.0029585798816568047
BROOKLYN,2015,12,882,1,204,1,0.0011337868480725624
MANHATTAN,2015,12,692,0,116,0,0.0
QUEENS,2015,12,742,1,171,1,0.0013477088948787063
STATEN ISLAND,2015,12,94,0,30,0,0.0
BOROUGH_NOT_SPECIFIED,2015,13,885,1,188,1,0.0011299435028248588
BRONX,2015,13,375,0,85,0,0.0
BROOKLYN,2015,13,909,1,205,1,0.0011001100110011
MANHATTAN,2015,13,713,0,93,0,0.0
QUEENS,2015,13,751,0,186,0,0.0
STATEN ISLAND,2015,13,110,0,25,0,0.0
BOROUGH_NOT_SPECIFIED,2015,14,1041,4,246,5,0.0038424591738712775
BRONX,2015,14,353,2,106,2,0.0056657223796034
BROOKLYN,2015,14,850,0,244,0,0.0
MANHATTAN,2015,14,821,1,107,1,0.001218026796589525
QUEENS,2015,14,728,0,172,0,0.0
STATEN ISLAND,2015,14,110,0,22,0,0.0
BOROUGH_NOT_SPECIFIED,2015,15,803,1,219,1,0.0012453300124533001
BRONX,2015,15,356,0,108,0,0.0
BROOKLYN,2015,15,783,1,202,1,0.001277139208173691
MANHATTAN,2015,15,753,0,101,0,0.0
QUEENS,2015,15,591,0,118,0,0.0
STATEN ISLAND,2015,15,88,0,23,0,0.0
BOROUGH_NOT_SPECIFIED,2015,16,971,0,266,0,0.0
BRONX,2015,16,401,1,111,1,0.0024937655860349127
BROOKLYN,2015,16,949,1,260,1,0.001053740779768177
MANHATTAN,2015,16,807,0,132,0,0.0
QUEENS,2015,16,765,1,218,1,0.00130718954248366
STATEN ISLAND,2015,16,107,0,17,0,0.0
BOROUGH_NOT_SPECIFIED,2015,17,1052,0,240,0,0.0
BRONX,2015,17,378,0,98,0,0.0
BROOKLYN,2015,17,1007,2,303,2,0.0019860973187686196
MANHATTAN,2015,17,870,0,106,0,0.0
QUEENS,2015,17,762,2,172,2,0.0026246719160104987
STATEN ISLAND,2015,17,128,1,41,1,0.0078125
BOROUGH_NOT_SPECIFIED,2015,18,1067,2,301,2,0.0018744142455482662
BRONX,2015,18,413,0,108,0,0.0
BROOKLYN,2015,18,957,1,243,1,0.0010449320794148381
MANHATTAN,2015,18,872,0,120,0,0.0
QUEENS,2015,18,805,1,172,2,0.0012422360248447205
STATEN ISLAND,2015,18,113,0,36,0,0.0
BOROUGH_NOT_SPECIFIED,2015,19,1065,0,253,0,0.0
BRONX,2015,19,421,0,119,0,0.0
BROOKLYN,2015,19,1032,2,287,2,0.001937984496124031
MANHATTAN,2015,19,807,2,135,2,0.0024783147459727386
QUEENS,2015,19,860,1,211,1,0.0011627906976744186
STATEN ISLAND,2015,19,162,1,31,1,0.006172839506172839
BOROUGH_NOT_SPECIFIED,2015,20,1116,0,292,0,0.0
BRONX,2015,20,418,3,124,3,0.007177033492822967
BROOKLYN,2015,20,1056,1,327,1,9.46969696969697E-4
MANHATTAN,2015,20,998,2,167,2,0.002004008016032064
QUEENS,2015,20,821,1,271,1,0.001218026796589525
STATEN ISLAND,2015,20,141,0,37,0,0.0
BOROUGH_NOT_SPECIFIED,2015,21,1011,2,242,2,0.0019782393669634025
BRONX,2015,21,407,0,123,0,0.0
BROOKLYN,2015,21,983,2,282,2,0.002034587995930824
MANHATTAN,2015,21,811,1,101,1,0.0012330456226880395
QUEENS,2015,21,814,0,195,0,0.0
STATEN ISLAND,2015,21,128,0,24,0,0.0
BOROUGH_NOT_SPECIFIED,2015,22,1103,2,320,2,0.001813236627379873
BRONX,2015,22,418,1,101,1,0.0023923444976076554
BROOKLYN,2015,22,1056,3,327,3,0.002840909090909091
MANHATTAN,2015,22,902,1,148,1,0.0011086474501108647
QUEENS,2015,22,839,2,231,2,0.0023837902264600714
STATEN ISLAND,2015,22,151,0,42,0,0.0
BOROUGH_NOT_SPECIFIED,2015,23,1053,0,260,0,0.0
BRONX,2015,23,451,2,125,2,0.004434589800443459
BROOKLYN,2015,23,1027,2,302,2,0.0019474196689386564
MANHATTAN,2015,23,872,0,137,0,0.0
QUEENS,2015,23,873,1,246,1,0.001145475372279496
STATEN ISLAND,2015,23,112,0,35,0,0.0
BOROUGH_NOT_SPECIFIED,2015,24,1028,1,280,1,9.727626459143969E-4
BRONX,2015,24,357,1,96,1,0.0028011204481792717
BROOKLYN,2015,24,900,0,250,0,0.0
MANHATTAN,2015,24,794,0,105,0,0.0
QUEENS,2015,24,838,1,264,1,0.0011933174224343676
STATEN ISLAND,2015,24,119,0,33,0,0.0
BOROUGH_NOT_SPECIFIED,2015,25,1096,1,274,1,9.124087591240876E-4
BRONX,2015,25,416,0,121,0,0.0
BROOKLYN,2015,25,1015,1,269,1,9.852216748768472E-4
MANHATTAN,2015,25,835,1,161,1,0.0011976047904191617
