Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
STATEN ISLAND,2012,40,210,1,110,2,0.004761904761904762
BOROUGH_NOT_SPECIFIED,2012,41,894,1,462,2,0.0011185682326621924
BRONX,2012,41,362,0,222,0,0.0
BROOKLYN,2012,41,891,0,580,0,0.0
MANHATTAN,2012,41,815,1,292,2,0.001226993865030675
QUEENS,2012,41,736,1,462,2,0.001358695652173913
STATEN ISLAND,2012,41,202,0,106,0,0.0
BOROUGH_NOT_SPECIFIED,2012,42,1023,4,584,8,0.0039100684261974585
BRONX,2012,42,365,1,176,2,0.0027397260273972603
BROOKLYN,2012,42,929,0,608,0,0.0
MANHATTAN,2012,42,863,0,316,0,0.0
QUEENS,2012,42,797,2,490,4,0.002509410288582183
STATEN ISLAND,2012,42,228,1,116,2,0.0043859649122807015
BOROUGH_NOT_SPECIFIED,2012,43,849,0,402,0,0.0
BRONX,2012,43,380,2,240,4,0.005263157894736842
BROOKLYN,2012,43,901,2,614,4,0.0022197558268590455
MANHATTAN,2012,43,741,1,262,2,0.001349527665317139
QUEENS,2012,43,637,2,372,4,0.0031397174254317113
STATEN ISLAND,2012,43,152,0,88,0,0.0
BOROUGH_NOT_SPECIFIED,2012,44,533,0,308,0,0.0
BRONX,2012,44,251,0,112,0,0.0
BROOKLYN,2012,44,661,0,328,0,0.0
MANHATTAN,2012,44,501,1,186,2,0.001996007984031936
QUEENS,2012,44,604,1,316,2,0.0016556291390728477
STATEN ISLAND,2012,44,104,1,70,2,0.009615384615384616
BOROUGH_NOT_SPECIFIED,2012,45,833,0,332,0,0.0
BRONX,2012,45,393,0,184,0,0.0
BROOKLYN,2012,45,955,0,534,0,0.0
MANHATTAN,2012,45,731,1,298,2,0.0013679890560875513
QUEENS,2012,45,802,0,454,0,0.0
STATEN ISLAND,2012,45,205,1,92,2,0.004878048780487805
BOROUGH_NOT_SPECIFIED,2012,46,1028,0,456,0,0.0
BRONX,2012,46,330,0,222,0,0.0
BROOKLYN,2012,46,975,3,550,6,0.003076923076923077
MANHATTAN,2012,46,828,0,258,0,0.0
QUEENS,2012,46,744,1,366,2,0.0013440860215053765
STATEN ISLAND,2012,46,197,0,104,0,0.0
BOROUGH_NOT_SPECIFIED,2012,47,880,1,446,2,0.0011363636363636363
BRONX,2012,47,326,0,226,0,0.0
BROOKLYN,2012,47,844,1,546,2,0.001184834123222749
MANHATTAN,2012,47,676,1,270,2,0.0014792899408284023
QUEENS,2012,47,767,1,398,2,0.001303780964797914
STATEN ISLAND,2012,47,190,0,114,0,0.0
BOROUGH_NOT_SPECIFIED,2012,48,806,1,460,2,0.0012406947890818859
BRONX,2012,48,341,0,220,0,0.0
BROOKLYN,2012,48,847,1,424,2,0.0011806375442739079
MANHATTAN,2012,48,798,0,300,0,0.0
QUEENS,2012,48,708,0,386,0,0.0
STATEN ISLAND,2012,48,183,0,78,0,0.0
BOROUGH_NOT_SPECIFIED,2012,49,951,0,476,0,0.0
BRONX,2012,49,346,0,214,0,0.0
BROOKLYN,2012,49,1039,1,730,2,9.624639076034649E-4
MANHATTAN,2012,49,853,0,280,0,0.0
QUEENS,2012,49,826,0,504,0,0.0
STATEN ISLAND,2012,49,197,0,112,0,0.0
BOROUGH_NOT_SPECIFIED,2012,50,897,2,468,4,0.002229654403567447
BRONX,2012,50,389,1,270,2,0.002570694087403599
BROOKLYN,2012,50,933,3,578,8,0.003215434083601286
MANHATTAN,2012,50,822,1,316,2,0.0012165450121654502
QUEENS,2012,50,726,0,422,0,0.0
STATEN ISLAND,2012,50,195,0,78,0,0.0
BOROUGH_NOT_SPECIFIED,2012,51,1008,1,528,2,9.92063492063492E-4
BRONX,2012,51,385,0,246,0,0.0
BROOKLYN,2012,51,949,1,580,2,0.001053740779768177
MANHATTAN,2012,51,827,1,264,2,0.0012091898428053204
QUEENS,2012,51,807,1,422,2,0.0012391573729863693
STATEN ISLAND,2012,51,214,2,102,4,0.009345794392523364
BOROUGH_NOT_SPECIFIED,2012,52,764,2,440,4,0.002617801047120419
BRONX,2012,52,342,1,204,2,0.0029239766081871343
BROOKLYN,2012,52,822,1,564,2,0.0012165450121654502
MANHATTAN,2012,52,603,1,250,2,0.001658374792703151
QUEENS,2012,52,634,5,354,10,0.007886435331230283
STATEN ISLAND,2012,52,173,1,78,2,0.005780346820809248
BOROUGH_NOT_SPECIFIED,2013,1,843,1,428,2,0.0011862396204033216
BRONX,2013,1,399,3,260,6,0.007518796992481203
BROOKLYN,2013,1,875,3,540,10,0.0034285714285714284
MANHATTAN,2013,1,677,1,228,2,0.0014771048744460858
QUEENS,2013,1,690,1,390,2,0.0014492753623188406
STATEN ISLAND,2013,1,153,0,76,0,0.0
BOROUGH_NOT_SPECIFIED,2013,2,818,0,478,0,0.0
BRONX,2013,2,343,0,220,0,0.0
BROOKLYN,2013,2,881,0,586,0,0.0
MANHATTAN,2013,2,668,0,222,0,0.0
QUEENS,2013,2,685,3,438,6,0.004379562043795621
STATEN ISLAND,2013,2,189,0,82,0,0.0
BOROUGH_NOT_SPECIFIED,2013,3,850,1,470,2,0.001176470588235294
BRONX,2013,3,328,0,194,0,0.0
BROOKLYN,2013,3,785,0,432,0,0.0
MANHATTAN,2013,3,735,2,270,4,0.0027210884353741495
QUEENS,2013,3,705,2,320,4,0.0028368794326241137
STATEN ISLAND,2013,3,162,0,74,0,0.0
BOROUGH_NOT_SPECIFIED,2013,4,836,0,456,0,0.0
BRONX,2013,4,341,0,168,0,0.0
BROOKLYN,2013,4,853,3,496,6,0.0035169988276670576
MANHATTAN,2013,4,703,0,252,0,0.0
QUEENS,2013,4,733,1,378,2,0.001364256480218281
STATEN ISLAND,2013,4,193,0,76,0,0.0
BOROUGH_NOT_SPECIFIED,2013,5,807,0,358,0,0.0
BRONX,2013,5,365,1,194,2,0.0027397260273972603
BROOKLYN,2013,5,911,2,482,4,0.0021953896816684962
MANHATTAN,2013,5,730,2,314,4,0.0027397260273972603
QUEENS,2013,5,711,3,360,6,0.004219409282700422
STATEN ISLAND,2013,5,167,1,94,2,0.005988023952095809
BOROUGH_NOT_SPECIFIED,2013,6,776,0,410,0,0.0
BRONX,2013,6,419,0,236,0,0.0
BROOKLYN,2013,6,879,0,406,0,0.0
MANHATTAN,2013,6,688,3,236,6,0.00436046511627907
QUEENS,2013,6,758,1,302,2,0.0013192612137203166
STATEN ISLAND,2013,6,196,0,62,0,0.0
BOROUGH_NOT_SPECIFIED,2013,7,824,1,476,2,0.0012135922330097086
BRONX,2013,7,388,1,252,2,0.002577319587628866
BROOKLYN,2013,7,848,1,488,2,0.0011792452830188679
MANHATTAN,2013,7,719,0,294,0,0.0
QUEENS,2013,7,708,2,334,4,0.002824858757062147
STATEN ISLAND,2013,7,184,0,128,0,0.0
